»’∆⁄,ºæΩ⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,NO2,CO,SO2,O3_8h
2016-04-16,¥∫,46,”≈,16,35,16,0.3,2,91
2016-04-17,¥∫,50,”≈,19,39,25,0.3,3,100
2016-04-18,¥∫,98,¡º,73,104,65,1.3,20,64
2016-04-19,¥∫,92,¡º,68,102,44,0.9,8,121
2016-04-20,¥∫,127,«·∂»Œ€»æ,96,165,58,0.9,7,124
2016-04-21,¥∫,74,¡º,33,97,23,0.3,2,108
2016-04-22,¥∫,54,¡º,23,58,30,0.3,4,97
2016-04-23,¥∫,113,«·∂»Œ€»æ,85,149,53,0.9,22,152
2016-04-24,¥∫,119,«·∂»Œ€»æ,90,141,34,0.7,14,172
2016-04-25,¥∫,95,¡º,71,124,44,1.4,26,141
2016-04-26,¥∫,120,«·∂»Œ€»æ,91,134,62,1.1,9,115
2016-04-27,¥∫,122,«·∂»Œ€»æ,81,100,49,1.0,7,184
2016-04-28,¥∫,168,÷–∂»Œ€»æ,127,160,65,1.4,17,185
2016-04-29,¥∫,209,÷ÿ∂»Œ€»æ,159,168,58,1.4,10,232
2016-04-30,¥∫,234,÷ÿ∂»Œ€»æ,184,166,43,2.3,26,236
2016-05-01,¥∫,82,¡º,50,103,20,0.5,2,138
2016-05-02,¥∫,60,¡º,23,70,29,0.4,2,101
2016-05-03,¥∫,68,¡º,29,59,49,0.5,4,121
2016-05-04,¥∫,102,«·∂»Œ€»æ,62,153,43,0.9,14,129
2016-05-05,¥∫,116,«·∂»Œ€»æ,57,182,13,0.2,2,100
2016-05-06,¥∫,74,¡º,23,55,29,0.3,3,128
2016-05-07,¥∫,97,¡º,60,103,44,0.7,15,156
2016-05-08,¥∫,64,¡º,36,64,39,0.5,4,116
2016-05-09,¥∫,100,¡º,43,76,36,0.5,4,160
2016-05-10,¥∫,200,÷–∂»Œ€»æ,150,166,36,1.1,12,177
2016-05-11,¥∫,62,¡º,34,45,28,0.5,3,114
2016-05-12,¥∫,73,¡º,32,60,43,0.6,6,127
2016-05-13,¥∫,58,¡º,41,33,35,0.5,3,84
2016-05-14,¥∫,49,”≈,34,33,36,0.5,2,87
2016-05-15,¥∫,75,¡º,24,59,43,0.5,3,129
2016-05-16,¥∫,162,÷–∂»Œ€»æ,58,104,52,0.6,11,227
2016-05-17,¥∫,134,«·∂»Œ€»æ,61,101,35,0.5,9,197
2016-05-18,¥∫,184,÷–∂»Œ€»æ,86,118,38,0.8,15,249
2016-05-19,¥∫,171,÷–∂»Œ€»æ,88,110,49,1.1,20,236
2016-05-20,¥∫,150,«·∂»Œ€»æ,68,83,47,0.8,18,215
2016-05-21,¥∫,142,«·∂»Œ€»æ,49,87,51,0.7,8,206
2016-05-22,¥∫,95,¡º,61,106,45,0.9,14,153
2016-05-23,¥∫,75,¡º,19,44,28,0.4,3,129
2016-05-24,¥∫,66,¡º,13,31,25,0.3,3,119
2016-05-25,¥∫,63,¡º,22,61,31,0.3,2,115
2016-05-26,¥∫,122,«·∂»Œ€»æ,48,104,50,0.6,12,184
2016-05-27,¥∫,138,«·∂»Œ€»æ,48,87,38,0.7,10,201
2016-05-28,¥∫,95,¡º,33,76,30,0.5,5,153
2016-05-29,¥∫,204,÷ÿ∂»Œ€»æ,82,147,51,1.1,16,283
2016-05-30,¥∫,138,«·∂»Œ€»æ,45,115,36,0.8,11,201
2016-05-31,¥∫,108,«·∂»Œ€»æ,37,73,42,0.7,6,168
2016-06-01,œƒ,156,÷–∂»Œ€»æ,53,88,51,0.8,9,221
2016-06-02,œƒ,160,÷–∂»Œ€»æ,82,125,61,1.2,21,225
2016-06-03,œƒ,179,÷–∂»Œ€»æ,87,127,38,0.9,16,244
2016-06-04,œƒ,161,÷–∂»Œ€»æ,71,98,38,0.9,14,226
2016-06-05,œƒ,189,÷–∂»Œ€»æ,87,119,32,0.9,7,254
2016-06-06,œƒ,127,«·∂»Œ€»æ,60,0,25,0.8,2,189
2016-06-07,œƒ,170,÷–∂»Œ€»æ,129,129,36,1.2,3,223
2016-06-08,œƒ,153,÷–∂»Œ€»æ,106,140,33,1.0,7,218
2016-06-09,œƒ,123,«·∂»Œ€»æ,52,32,20,0.6,2,185
2016-06-10,œƒ,64,¡º,12,30,25,0.4,2,116
2016-06-11,œƒ,146,«·∂»Œ€»æ,71,100,33,1.0,7,210
2016-06-12,œƒ,96,¡º,47,0,28,0.6,2,155
2016-06-13,œƒ,50,”≈,35,44,26,0.6,2,95
2016-06-14,œƒ,92,¡º,19,40,30,0.5,2,150
2016-06-15,œƒ,90,¡º,26,59,47,0.6,2,148
2016-06-16,œƒ,59,¡º,24,56,47,0.6,2,103
2016-06-17,œƒ,145,«·∂»Œ€»æ,42,72,44,0.7,4,209
2016-06-18,œƒ,149,«·∂»Œ€»æ,65,98,39,0.8,5,213
2016-06-19,œƒ,166,÷–∂»Œ€»æ,85,101,28,1.0,5,231
2016-06-20,œƒ,175,÷–∂»Œ€»æ,85,89,30,0.9,2,240
2016-06-21,œƒ,150,«·∂»Œ€»æ,56,85,32,0.7,2,214
2016-06-22,œƒ,117,«·∂»Œ€»æ,76,102,38,1.1,6,178
2016-06-23,œƒ,70,¡º,13,30,30,0.6,2,123
2016-06-24,œƒ,59,¡º,18,38,32,0.4,2,110
2016-06-25,œƒ,140,«·∂»Œ€»æ,41,77,42,0.5,5,203
2016-06-26,œƒ,98,¡º,60,88,39,0.7,7,157
2016-06-27,œƒ,98,¡º,73,0,32,0.7,2,118
2016-06-28,œƒ,145,«·∂»Œ€»æ,111,0,33,0.9,2,166
2016-06-29,œƒ,130,«·∂»Œ€»æ,60,57,33,0.7,2,192
2016-06-30,œƒ,82,¡º,14,32,25,0.4,2,138
2016-07-01,œƒ,119,«·∂»Œ€»æ,47,71,38,0.7,3,180
2016-07-02,œƒ,137,«·∂»Œ€»æ,83,108,43,1.0,8,200
2016-07-03,œƒ,173,÷–∂»Œ€»æ,131,110,32,1.2,5,216
2016-07-04,œƒ,161,÷–∂»Œ€»æ,96,104,30,1.0,5,226
2016-07-05,œƒ,155,÷–∂»Œ€»æ,74,106,35,0.9,5,220
2016-07-06,œƒ,177,÷–∂»Œ€»æ,110,125,33,1.2,8,242
2016-07-07,œƒ,146,«·∂»Œ€»æ,91,104,34,1.2,5,210
2016-07-08,œƒ,143,«·∂»Œ€»æ,83,93,32,0.8,4,207
2016-07-09,œƒ,137,«·∂»Œ€»æ,91,86,28,0.8,4,200
2016-07-10,œƒ,129,«·∂»Œ€»æ,86,98,29,0.7,7,191
2016-07-11,œƒ,52,¡º,29,54,29,0.6,4,94
2016-07-12,œƒ,112,«·∂»Œ€»æ,20,43,32,0.5,3,173
2016-07-13,œƒ,80,¡º,35,0,42,0.8,4,135
2016-07-14,œƒ,52,¡º,36,40,30,0.7,2,77
2016-07-15,œƒ,54,¡º,38,53,40,0.8,3,82
2016-07-16,œƒ,154,÷–∂»Œ€»æ,79,97,42,1.1,3,219
2016-07-17,œƒ,139,«·∂»Œ€»æ,106,130,52,1.3,4,137
2016-07-18,œƒ,133,«·∂»Œ€»æ,101,0,44,1.3,2,53
2016-07-19,œƒ,48,”≈,33,7,18,0.7,2,57
2016-07-20,œƒ,40,”≈,28,39,27,0.8,2,53
2016-07-21,œƒ,100,¡º,75,81,32,1.1,2,154
2016-07-22,œƒ,158,÷–∂»Œ€»æ,120,174,34,1.2,2,180
2016-07-23,œƒ,131,«·∂»Œ€»æ,73,118,34,0.9,3,194
2016-07-24,œƒ,57,¡º,40,38,29,0.8,3,108
2016-07-25,œƒ,93,¡º,21,48,24,0.6,3,151
2016-07-26,œƒ,168,÷–∂»Œ€»æ,47,0,35,0.7,2,233
2016-07-27,œƒ,128,«·∂»Œ€»æ,50,81,31,0.7,2,190
2016-07-28,œƒ,158,÷–∂»Œ€»æ,120,139,30,1.3,2,217
2016-07-29,œƒ,170,÷–∂»Œ€»æ,129,48,32,1.6,2,87
2016-07-30,œƒ,77,¡º,56,82,32,1.0,2,102
2016-07-31,œƒ,109,«·∂»Œ€»æ,71,100,30,1.3,3,169
2016-08-01,œƒ,96,¡º,49,58,31,1.0,2,155
2016-08-02,œƒ,153,÷–∂»Œ€»æ,59,80,35,1.0,3,218
2016-08-03,œƒ,155,÷–∂»Œ€»æ,101,114,33,1.4,2,220
2016-08-04,œƒ,103,«·∂»Œ€»æ,66,88,29,0.8,3,163
2016-08-05,œƒ,129,«·∂»Œ€»æ,98,96,32,1.0,2,162
2016-08-06,œƒ,69,¡º,20,34,19,0.6,2,122
2016-08-07,œƒ,95,¡º,32,48,26,0.8,3,154
2016-08-08,œƒ,135,«·∂»Œ€»æ,46,70,37,1.2,6,198
2016-08-09,œƒ,112,«·∂»Œ€»æ,84,97,27,0.9,3,158
2016-08-10,œƒ,114,«·∂»Œ€»æ,86,100,29,0.9,3,156
2016-08-11,œƒ,79,¡º,58,73,38,0.9,4,72
2016-08-12,œƒ,50,”≈,22,35,40,0.7,3,45
2016-08-13,œƒ,104,«·∂»Œ€»æ,22,48,38,0.6,3,164
2016-08-14,œƒ,45,”≈,20,42,29,0.6,2,89
2016-08-15,œƒ,96,¡º,24,41,32,0.6,2,155
2016-08-16,œƒ,87,¡º,64,0,58,1.0,3,47
2016-08-17,œƒ,99,¡º,74,0,42,1.6,2,43
2016-08-18,œƒ,67,¡º,19,42,25,0.9,2,120
2016-08-19,œƒ,134,«·∂»Œ€»æ,54,70,38,1.0,2,197
2016-08-20,œƒ,179,÷–∂»Œ€»æ,54,74,40,1.0,3,244
2016-08-21,œƒ,103,«·∂»Œ€»æ,50,66,32,0.9,4,163
2016-08-22,œƒ,95,¡º,71,91,42,0.9,6,135
2016-08-23,œƒ,109,«·∂»Œ€»æ,82,110,48,1.1,3,133
2016-08-24,œƒ,34,”≈,17,23,24,0.4,2,67
2016-08-25,œƒ,45,”≈,11,29,33,0.4,2,90
2016-08-26,œƒ,48,”≈,15,39,38,0.4,3,81
2016-08-27,œƒ,46,”≈,12,32,34,0.3,2,92
2016-08-28,œƒ,66,¡º,19,47,45,0.5,3,119
2016-08-29,œƒ,109,«·∂»Œ€»æ,30,65,48,0.6,3,169
2016-08-30,œƒ,50,”≈,16,37,40,0.5,3,88
2016-08-31,œƒ,39,”≈,8,31,31,0.3,3,72
2016-09-01,«Ô,39,”≈,12,34,31,0.4,2,56
2016-09-02,«Ô,86,¡º,21,45,35,0.5,2,143
2016-09-03,«Ô,106,«·∂»Œ€»æ,79,0,44,1.0,5,166
2016-09-04,«Ô,54,¡º,28,58,33,0.5,2,94
2016-09-05,«Ô,0,Œﬁ,0,0,0,0.0,0,0
2016-09-06,«Ô,87,¡º,40,65,41,0.7,5,144
2016-09-07,«Ô,55,¡º,23,46,44,0.6,2,105
2016-09-08,«Ô,53,¡º,18,39,42,0.5,3,68
2016-09-09,«Ô,54,¡º,17,44,43,0.5,3,92
2016-09-10,«Ô,65,¡º,32,48,29,0.8,2,117
2016-09-11,«Ô,72,¡º,34,51,38,0.8,2,126
2016-09-12,«Ô,118,«·∂»Œ€»æ,89,98,53,1.1,3,137
2016-09-13,«Ô,130,«·∂»Œ€»æ,99,102,50,1.1,4,174
2016-09-14,«Ô,111,«·∂»Œ€»æ,79,100,42,0.9,4,172
2016-09-15,«Ô,172,÷–∂»Œ€»æ,130,125,39,1.1,4,187
2016-09-16,«Ô,57,¡º,40,0,37,0.8,2,49
2016-09-17,«Ô,42,”≈,23,22,33,0.6,2,18
2016-09-18,«Ô,44,”≈,12,29,35,0.4,2,74
2016-09-19,«Ô,59,¡º,21,44,47,0.5,3,95
2016-09-20,«Ô,97,¡º,68,117,77,1.0,5,44
2016-09-21,«Ô,137,«·∂»Œ€»æ,104,129,59,1.1,7,113
2016-09-22,«Ô,168,÷–∂»Œ€»æ,127,172,49,1.2,3,182
2016-09-23,«Ô,156,÷–∂»Œ€»æ,119,203,54,1.1,4,174
2016-09-24,«Ô,211,÷ÿ∂»Œ€»æ,161,193,49,1.5,4,96
2016-09-25,«Ô,80,¡º,59,109,46,1.2,2,61
2016-09-26,«Ô,33,”≈,23,29,24,0.6,2,59
2016-09-27,«Ô,50,”≈,16,38,40,0.4,3,58
2016-09-28,«Ô,75,¡º,53,90,60,0.7,5,95
2016-09-29,«Ô,135,«·∂»Œ€»æ,103,138,76,0.9,7,145
2016-09-30,«Ô,220,÷ÿ∂»Œ€»æ,170,202,86,1.3,11,118
2016-10-01,«Ô,233,÷ÿ∂»Œ€»æ,183,201,72,1.4,6,132
2016-10-02,«Ô,159,÷–∂»Œ€»æ,121,140,58,1.1,3,132
2016-10-03,«Ô,47,”≈,31,44,37,1.1,3,34
2016-10-04,«Ô,83,¡º,61,91,42,1.2,2,57
2016-10-05,«Ô,95,¡º,71,0,48,1.6,4,11
2016-10-06,«Ô,55,¡º,39,17,43,1.6,2,15
2016-10-07,«Ô,33,”≈,13,29,26,0.5,2,60
2016-10-08,«Ô,67,¡º,33,64,53,0.7,4,33
2016-10-09,«Ô,122,«·∂»Œ€»æ,92,127,79,1.2,10,31
2016-10-10,«Ô,149,«·∂»Œ€»æ,114,130,65,1.4,8,62
2016-10-11,«Ô,107,«·∂»Œ€»æ,80,102,64,1.2,6,51
2016-10-12,«Ô,206,÷ÿ∂»Œ€»æ,156,189,75,1.6,5,78
2016-10-13,«Ô,292,÷ÿ∂»Œ€»æ,242,258,93,2.0,6,73
2016-10-14,«Ô,236,÷ÿ∂»Œ€»æ,186,226,88,1.9,4,4
2016-10-15,«Ô,153,÷–∂»Œ€»æ,117,137,58,1.0,3,55
2016-10-16,«Ô,85,¡º,63,101,53,0.9,2,61
2016-10-17,«Ô,160,÷–∂»Œ€»æ,122,158,72,1.8,6,10
2016-10-18,«Ô,278,÷ÿ∂»Œ€»æ,228,228,83,2.3,5,38
2016-10-19,«Ô,115,«·∂»Œ€»æ,87,0,54,1.4,6,27
2016-10-20,«Ô,60,¡º,43,0,39,0.8,2,33
2016-10-21,«Ô,38,”≈,15,25,30,0.6,2,36
2016-10-22,«Ô,55,¡º,28,52,44,0.6,4,38
2016-10-23,«Ô,87,¡º,64,113,58,1.2,3,4
2016-10-24,«Ô,133,«·∂»Œ€»æ,101,135,74,1.5,3,8
2016-10-25,«Ô,69,¡º,42,88,50,0.8,4,46
2016-10-26,«Ô,63,¡º,30,66,50,1.0,5,11
2016-10-27,«Ô,38,”≈,11,29,30,0.4,2,58
2016-10-28,«Ô,59,¡º,26,62,47,0.6,4,42
2016-10-29,«Ô,66,¡º,44,81,42,0.8,5,54
2016-10-30,«Ô,29,”≈,9,25,19,0.3,4,57
2016-10-31,«Ô,69,¡º,45,74,55,0.7,9,37
2016-11-01,«Ô,140,«·∂»Œ€»æ,107,149,82,1.5,10,23
2016-11-02,«Ô,243,÷ÿ∂»Œ€»æ,193,241,104,2.6,9,11
2016-11-03,«Ô,292,÷ÿ∂»Œ€»æ,242,271,119,3.4,6,12
2016-11-04,«Ô,230,÷ÿ∂»Œ€»æ,180,203,95,3.1,5,36
2016-11-05,«Ô,95,¡º,71,97,56,1.2,10,40
2016-11-06,«Ô,53,¡º,37,43,39,0.8,3,50
2016-11-07,«Ô,67,¡º,39,71,53,0.8,7,36
2016-11-08,«Ô,208,÷ÿ∂»Œ€»æ,158,194,86,2.5,14,5
2016-11-09,«Ô,199,÷–∂»Œ€»æ,149,178,70,1.8,8,15
2016-11-10,«Ô,110,«·∂»Œ€»æ,83,124,65,1.7,7,16
2016-11-11,«Ô,100,¡º,75,124,66,1.5,10,28
2016-11-12,«Ô,132,«·∂»Œ€»æ,100,165,72,2.3,11,4
2016-11-13,«Ô,62,¡º,39,73,35,0.9,4,61
2016-11-14,«Ô,79,¡º,45,84,63,1.5,13,23
2016-11-15,«Ô,132,«·∂»Œ€»æ,100,147,80,2.2,16,21
2016-11-16,«Ô,149,«·∂»Œ€»æ,114,165,70,2.5,22,6
2016-11-17,«Ô,242,÷ÿ∂»Œ€»æ,192,280,87,3.7,19,3
2016-11-18,«Ô,165,÷–∂»Œ€»æ,125,133,65,1.8,9,49
2016-11-19,«Ô,70,¡º,51,0,41,1.1,4,25
2016-11-20,«Ô,30,”≈,10,21,15,0.4,3,60
2016-11-21,«Ô,28,”≈,8,21,21,0.4,4,55
2016-11-22,«Ô,44,”≈,19,33,35,0.6,8,43
2016-11-23,«Ô,102,«·∂»Œ€»æ,76,107,70,1.5,18,25
2016-11-24,«Ô,214,÷ÿ∂»Œ€»æ,164,205,97,2.6,24,8
2016-11-25,«Ô,315,—œ÷ÿŒ€»æ,265,361,117,3.5,22,13
2016-11-26,«Ô,68,¡º,49,80,45,0.9,7,58
2016-11-27,«Ô,97,¡º,63,101,77,1.7,18,16
2016-11-28,«Ô,129,«·∂»Œ€»æ,98,146,81,2.6,26,4
2016-11-29,«Ô,117,«·∂»Œ€»æ,88,128,67,2.1,15,53
2016-11-30,«Ô,60,¡º,33,56,48,0.8,9,57
2016-12-01,∂¨,129,«·∂»Œ€»æ,98,131,85,2.1,19,17
2016-12-02,∂¨,259,÷ÿ∂»Œ€»æ,209,272,113,3.4,24,10
2016-12-03,∂¨,302,—œ÷ÿŒ€»æ,252,284,104,3.6,18,17
2016-12-04,∂¨,60,¡º,43,50,43,1.0,8,61
2016-12-05,∂¨,112,«·∂»Œ€»æ,84,128,92,2.3,21,11
2016-12-06,∂¨,170,÷–∂»Œ€»æ,129,169,100,2.7,23,15
2016-12-07,∂¨,114,«·∂»Œ€»æ,86,119,53,1.7,11,66
2016-12-08,∂¨,54,¡º,25,45,43,0.8,9,48
2016-12-09,∂¨,80,¡º,49,74,64,1.4,14,24
2016-12-10,∂¨,219,÷ÿ∂»Œ€»æ,169,204,101,3.5,35,8
2016-12-11,∂¨,271,÷ÿ∂»Œ€»æ,221,240,103,3.0,39,15
2016-12-12,∂¨,68,¡º,49,32,50,1.2,9,43
2016-12-13,∂¨,58,¡º,28,51,46,0.8,11,43
2016-12-14,∂¨,54,¡º,27,53,43,0.9,10,59
2016-12-15,∂¨,149,«·∂»Œ€»æ,114,149,92,2.2,22,14
2016-12-16,∂¨,246,÷ÿ∂»Œ€»æ,196,224,104,3.3,32,11
2016-12-17,∂¨,271,÷ÿ∂»Œ€»æ,221,239,102,3.5,25,14
2016-12-18,∂¨,273,÷ÿ∂»Œ€»æ,223,253,111,4.1,22,14
2016-12-19,∂¨,418,—œ÷ÿŒ€»æ,376,415,135,8.0,8,6
2016-12-20,∂¨,431,—œ÷ÿŒ€»æ,396,415,155,8.0,12,9
2016-12-21,∂¨,79,¡º,58,57,35,1.3,6,59
2016-12-22,∂¨,62,¡º,34,65,49,0.8,9,39
2016-12-23,∂¨,160,÷–∂»Œ€»æ,122,152,90,2.7,26,10
2016-12-24,∂¨,195,÷–∂»Œ€»æ,146,168,96,2.8,30,5
2016-12-25,∂¨,59,¡º,41,45,47,0.9,15,50
2016-12-26,∂¨,59,¡º,42,63,45,0.9,9,51
2016-12-27,∂¨,87,¡º,64,64,42,1.1,10,45
2016-12-28,∂¨,88,¡º,65,94,53,1.1,12,31
2016-12-29,∂¨,262,÷ÿ∂»Œ€»æ,212,255,100,3.3,19,8
2016-12-30,∂¨,351,—œ÷ÿŒ€»æ,301,356,129,4.6,21,8
2016-12-31,∂¨,470,—œ÷ÿŒ€»æ,454,512,141,6.8,8,6
2017-01-01,∂¨,248,÷ÿ∂»Œ€»æ,198,190,102,3.8,13,38
2017-01-02,∂¨,348,—œ÷ÿŒ€»æ,311,339,153,6.0,17,17
2017-01-03,∂¨,389,—œ÷ÿŒ€»æ,364,389,153,7.5,19,13
2017-01-04,∂¨,270,÷ÿ∂»Œ€»æ,223,222,115,5.3,16,11
2017-01-05,∂¨,248,÷ÿ∂»Œ€»æ,199,183,110,4.3,23,14
2017-01-06,∂¨,220,÷ÿ∂»Œ€»æ,167,128,83,3.3,18,11
2017-01-07,∂¨,50,”≈,34,20,34,1.0,10,54
2017-01-08,∂¨,50,”≈,36,43,40,0.8,7,47
2017-01-09,∂¨,42,”≈,25,39,36,0.7,8,61
2017-01-10,∂¨,95,¡º,58,79,75,1.7,19,19
2017-01-11,∂¨,63,¡º,41,59,50,1.0,12,46
2017-01-12,∂¨,34,”≈,8,21,23,0.4,6,69
2017-01-13,∂¨,56,¡º,20,39,45,0.9,11,52
2017-01-14,∂¨,71,¡º,53,70,50,1.0,11,31
2017-01-15,∂¨,121,«·∂»Œ€»æ,96,108,68,1.8,19,8
2017-01-16,∂¨,180,÷–∂»Œ€»æ,137,142,75,2.2,21,21
2017-01-17,∂¨,62,¡º,38,51,52,0.9,11,39
2017-01-18,∂¨,70,¡º,45,86,37,1.2,14,63
2017-01-19,∂¨,43,”≈,25,37,36,0.8,9,57
2017-01-20,∂¨,49,”≈,24,46,29,0.8,9,72
2017-01-21,∂¨,52,¡º,26,36,42,0.9,12,49
2017-01-22,∂¨,58,¡º,36,46,50,1.0,14,44
2017-01-23,∂¨,114,«·∂»Œ€»æ,90,101,77,2.1,29,29
2017-01-24,∂¨,224,÷ÿ∂»Œ€»æ,178,177,95,3.3,39,30
2017-01-25,∂¨,209,÷ÿ∂»Œ€»æ,155,164,62,2.7,26,70
2017-01-26,∂¨,87,¡º,78,111,31,0.8,24,77
2017-01-27,∂¨,398,—œ÷ÿŒ€»æ,345,426,71,2.7,84,26
2017-01-28,∂¨,56,¡º,30,65,15,0.7,8,68
2017-01-29,∂¨,40,”≈,29,35,22,0.6,11,72
2017-01-30,∂¨,104,«·∂»Œ€»æ,77,84,43,1.3,27,57
2017-01-31,∂¨,51,¡º,38,57,29,0.6,16,62
2017-02-01,∂¨,103,«·∂»Œ€»æ,83,98,63,1.6,30,50
2017-02-02,∂¨,210,÷ÿ∂»Œ€»æ,166,179,87,2.7,45,49
2017-02-03,∂¨,305,—œ÷ÿŒ€»æ,245,240,94,3.4,48,52
2017-02-04,∂¨,43,”≈,12,14,25,0.5,7,86
2017-02-05,∂¨,36,”≈,15,26,31,0.5,8,68
2017-02-06,∂¨,103,«·∂»Œ€»æ,80,93,62,1.6,21,40
2017-02-07,∂¨,49,”≈,30,44,25,0.8,7,76
2017-02-08,∂¨,38,”≈,7,20,12,0.3,3,76
2017-02-09,∂¨,42,”≈,7,23,17,0.4,3,85
2017-02-10,∂¨,65,¡º,53,80,49,1.0,21,77
2017-02-11,∂¨,137,«·∂»Œ€»æ,107,139,81,2.4,42,43
2017-02-12,∂¨,108,«·∂»Œ€»æ,85,107,70,2.1,25,70
2017-02-13,∂¨,230,÷ÿ∂»Œ€»æ,185,188,101,2.9,32,20
2017-02-14,∂¨,281,÷ÿ∂»Œ€»æ,243,220,112,3.2,38,49
2017-02-15,∂¨,135,«·∂»Œ€»æ,100,95,53,1.4,18,66
2017-02-16,∂¨,41,”≈,24,41,32,0.6,8,80
2017-02-17,∂¨,113,«·∂»Œ€»æ,88,124,77,1.7,27,52
2017-02-18,∂¨,128,«·∂»Œ€»æ,94,139,59,1.5,23,83
2017-02-19,∂¨,36,”≈,13,34,27,0.5,5,72
2017-02-20,∂¨,82,¡º,62,74,59,1.3,15,31
2017-02-21,∂¨,103,«·∂»Œ€»æ,76,64,40,1.1,7,68
2017-02-22,∂¨,41,”≈,19,30,36,0.6,7,78
2017-02-23,∂¨,57,¡º,25,37,47,0.8,9,76
2017-02-24,∂¨,43,”≈,11,22,32,0.5,6,86
2017-02-25,∂¨,66,¡º,29,47,54,0.8,10,72
2017-02-26,∂¨,97,¡º,67,96,80,1.5,17,54
2017-02-27,∂¨,43,”≈,14,28,34,0.6,6,87
2017-02-28,∂¨,47,”≈,8,37,13,0.4,3,94
2017-03-01,¥∫,67,¡º,40,80,54,0.9,13,70
2017-03-02,¥∫,111,«·∂»Œ€»æ,82,138,68,1.5,23,60
2017-03-03,¥∫,113,«·∂»Œ€»æ,87,108,74,1.7,26,82
2017-03-04,¥∫,42,”≈,12,30,19,0.4,4,84
2017-03-05,¥∫,45,”≈,17,43,34,0.7,6,81
2017-03-06,¥∫,40,”≈,7,23,15,0.4,3,80
2017-03-07,¥∫,45,”≈,10,30,24,0.5,3,90
2017-03-08,¥∫,46,”≈,13,35,39,0.5,4,83
2017-03-09,¥∫,77,¡º,34,65,64,0.9,12,88
2017-03-10,¥∫,65,¡º,44,80,48,0.9,15,89
2017-03-11,¥∫,44,”≈,7,27,13,0.3,3,88
2017-03-12,¥∫,43,”≈,11,28,32,0.5,5,87
2017-03-13,¥∫,51,¡º,21,52,43,0.6,8,85
2017-03-14,¥∫,86,¡º,65,96,69,1.2,22,77
2017-03-15,¥∫,148,«·∂»Œ€»æ,115,156,88,1.4,25,83
2017-03-16,¥∫,160,÷–∂»Œ€»æ,125,162,71,1.1,19,81
2017-03-17,¥∫,190,÷–∂»Œ€»æ,146,162,68,1.2,16,139
2017-03-18,¥∫,273,÷ÿ∂»Œ€»æ,222,217,81,2.1,33,150
2017-03-19,¥∫,182,÷–∂»Œ€»æ,137,126,75,1.4,19,60
2017-03-20,¥∫,113,«·∂»Œ€»æ,87,123,48,0.8,7,98
2017-03-21,¥∫,175,÷–∂»Œ€»æ,140,178,81,1.3,19,74
2017-03-22,¥∫,160,÷–∂»Œ€»æ,121,90,60,1.7,6,52
2017-03-23,¥∫,80,¡º,60,31,49,1.0,2,50
2017-03-24,¥∫,48,”≈,34,28,36,0.8,3,82
2017-03-25,¥∫,44,”≈,12,27,23,0.4,3,89
2017-03-26,¥∫,43,”≈,17,34,37,0.4,3,87
2017-03-27,¥∫,80,¡º,60,93,54,0.7,9,100
2017-03-28,¥∫,148,«·∂»Œ€»æ,118,141,65,0.9,11,111
2017-03-29,¥∫,114,«·∂»Œ€»æ,86,129,57,1.2,16,85
2017-03-30,¥∫,47,”≈,20,42,34,0.5,4,86
2017-03-31,¥∫,67,¡º,31,78,52,0.6,7,88
2017-04-01,¥∫,91,¡º,68,112,72,1.1,14,97
2017-04-02,¥∫,165,÷–∂»Œ€»æ,125,170,78,1.3,21,159
2017-04-03,¥∫,174,÷–∂»Œ€»æ,130,147,62,1.2,20,90
2017-04-04,¥∫,81,¡º,61,57,30,0.6,5,129
2017-04-05,¥∫,125,«·∂»Œ€»æ,98,106,47,0.9,6,123
2017-04-06,¥∫,100,¡º,76,120,48,0.8,8,76
2017-04-07,¥∫,86,¡º,76,136,60,0.9,7,64
2017-04-08,¥∫,87,¡º,64,100,46,1.0,7,98
2017-04-09,¥∫,90,¡º,66,119,59,0.8,9,72
2017-04-10,¥∫,58,¡º,26,66,35,0.4,3,90
2017-04-11,¥∫,70,¡º,30,94,53,0.6,5,97
2017-04-12,¥∫,91,¡º,54,135,66,1.1,14,77
2017-04-13,¥∫,93,¡º,60,136,67,0.9,6,99
2017-04-14,¥∫,70,¡º,36,86,52,0.5,5,119
2017-04-15,¥∫,124,«·∂»Œ€»æ,97,176,72,1.0,17,110
2017-04-16,¥∫,168,÷–∂»Œ€»æ,123,210,56,1.0,8,97
2017-04-17,¥∫,65,¡º,24,80,23,0.3,2,94
2017-04-18,¥∫,87,¡º,45,122,71,0.9,7,35
2017-04-19,¥∫,71,¡º,36,88,44,0.7,3,90
2017-04-20,¥∫,54,¡º,19,58,23,0.3,2,104
2017-04-21,¥∫,87,¡º,44,122,44,0.5,8,122
2017-04-22,¥∫,62,¡º,24,72,24,0.4,4,115
2017-04-23,¥∫,66,¡º,31,79,31,0.5,5,111
2017-04-24,¥∫,38,”≈,13,39,26,0.3,3,77
2017-04-25,¥∫,51,¡º,14,38,30,0.4,3,102
2017-04-26,¥∫,54,¡º,15,49,36,0.4,2,105
2017-04-27,¥∫,62,¡º,23,64,40,0.4,3,115
2017-04-28,¥∫,76,¡º,40,103,43,0.5,3,127
