日期,AQI,质量等级,PM2.5,PM10,NO2,CO,SO2,O3_8h
2015/5/7,89,良,42,129,37,0.6,6,119
2015/5/8,83,良,52,115,37,1,11,119
2015/5/9,55,良,39,52,33,1,7,100
2015/5/10,49,优,34,35,46,1.3,4,46
2015/5/11,42,优,24,20,30,0.8,2,84
2015/5/12,54,良,19,44,41,0.5,2,105
2015/5/13,98,良,57,133,66,0.8,4,158
2015/5/14,57,良,20,62,29,0.3,5,108
2015/5/15,67,良,23,47,26,0.4,3,120
2015/5/16,116,轻度污染,46,96,43,0.7,8,178
2015/5/17,166,中度污染,126,182,43,1.2,15,165
2015/5/18,75,良,55,93,33,0.5,3,105
2015/5/19,49,优,11,49,16,0.3,2,93
2015/5/20,63,良,16,37,22,0.3,2,116
2015/5/21,91,良,33,84,43,0.5,6,149
2015/5/22,137,轻度污染,52,89,41,0.8,12,201
2015/5/23,179,中度污染,95,139,53,1,16,244
2015/5/24,178,中度污染,115,164,56,1.2,16,243
2015/5/25,203,重度污染,101,166,47,1.2,24,281
2015/5/26,191,中度污染,87,149,38,0.9,19,256
2015/5/27,160,中度污染,92,141,33,0.9,11,225
2015/5/28,151,中度污染,116,151,36,1.2,23,197
2015/5/29,104,轻度污染,61,94,42,0.8,5,164
2015/5/30,136,轻度污染,54,90,39,0.8,6,200
2015/5/31,153,中度污染,55,102,44,0.9,15,218
2015/6/1,159,中度污染,88,166,46,1,14,224
2015/6/2,103,轻度污染,30,63,26,0.5,4,163
2015/6/3,75,良,32,101,36,0.5,6,128
2015/6/4,70,良,51,90,55,3.4,7,96
2015/6/5,68,良,49,52,45,6.8,5,65
2015/6/6,79,良,25,62,32,5,3,135
2015/6/7,43,优,14,32,30,2.6,4,86
2015/6/8,69,良,18,35,35,0.5,4,123
2015/6/9,134,轻度污染,49,87,49,1.1,15,197
2015/6/10,100,良,75,74,34,1.1,4,154
2015/6/11,48,优,20,25,21,0.6,3,96
2015/6/12,44,优,8,22,22,0.4,3,87
2015/6/13,65,良,11,27,18,0.4,3,118
2015/6/14,98,良,19,37,29,0.5,3,158
2015/6/15,166,中度污染,85,121,40,1.2,15,231
2015/6/16,177,中度污染,104,144,50,1.2,12,242
2015/6/17,126,轻度污染,42,67,36,0.8,3,189
2015/6/18,53,良,19,32,28,0.5,2,103
2015/6/19,35,优,14,33,24,0.5,2,70
2015/6/20,103,轻度污染,23,39,37,0.6,2,163
2015/6/21,137,轻度污染,41,73,39,0.6,5,201
2015/6/22,163,中度污染,90,117,38,1.1,16,228
2015/6/23,231,重度污染,181,178,39,1.7,15,238
2015/6/24,159,中度污染,121,123,43,1.1,9,190
2015/6/25,164,中度污染,125,111,51,1,6,128
2015/6/26,139,轻度污染,106,23,24,0.9,2,200
2015/6/27,120,轻度污染,89,51,32,0.8,4,182
2015/6/28,197,中度污染,148,57,34,1.2,8,219
2015/6/29,154,中度污染,118,39,42,1.1,5,178
2015/6/30,52,良,15,20,27,0.4,2,102
2015/7/1,41,优,18,38,34,0.4,3,82
2015/7/2,46,优,8,20,28,0.3,4,92
2015/7/3,116,轻度污染,24,60,34,0.9,11,178
2015/7/4,92,良,33,59,45,0.7,6,150
2015/7/5,160,中度污染,62,71,36,1,9,225
2015/7/6,156,中度污染,69,76,33,1.1,10,221
2015/7/7,160,中度污染,67,86,32,0.9,7,225
2015/7/8,175,中度污染,125,132,35,1.1,8,240
2015/7/9,172,中度污染,72,92,37,0.8,11,237
2015/7/10,145,轻度污染,50,82,32,0.7,9,210
2015/7/11,181,中度污染,103,126,35,1.1,10,246
2015/7/12,200,中度污染,108,158,46,0.9,5,267
2015/7/13,176,中度污染,49,84,43,0.6,3,241
2015/7/14,147,轻度污染,35,65,30,0.6,4,212
2015/7/15,85,良,34,62,47,0.6,3,142
2015/7/16,54,良,37,47,29,0.7,2,105
2015/7/17,50,优,35,43,32,0.8,2,91
2015/7/18,78,良,47,30,26,0.8,2,134
2015/7/19,89,良,66,33,32,0.9,2,124
2015/7/20,118,轻度污染,89,144,33,0.9,2,142
2015/7/21,176,中度污染,133,0,33,1.1,2,151
2015/7/22,110,轻度污染,62,55,35,0.7,2,171
2015/7/23,70,良,41,54,48,0.8,2,123
2015/7/24,138,轻度污染,50,77,46,0.9,2,201
2015/7/25,158,中度污染,90,108,38,1,3,223
2015/7/26,151,中度污染,104,123,33,1,4,216
2015/7/27,130,轻度污染,75,133,33,0.9,3,192
2015/7/28,109,轻度污染,52,76,30,0.8,2,169
2015/7/29,138,轻度污染,86,55,35,0.9,2,201
2015/7/30,75,良,44,52,28,0.9,2,129
2015/7/31,85,良,26,41,26,0.7,2,142
2015/8/1,90,良,67,72,47,1.3,3,100
2015/8/2,102,轻度污染,74,88,27,1.2,2,162
2015/8/3,82,良,60,33,33,1.1,4,101
2015/8/4,110,轻度污染,21,54,32,0.5,4,171
2015/8/5,127,轻度污染,64,102,40,1,3,189
2015/8/6,119,轻度污染,58,95,31,0.8,2,180
2015/8/7,119,轻度污染,90,0,33,1.1,4,167
2015/8/8,110,轻度污染,40,72,34,0.7,3,171
2015/8/9,152,中度污染,53,85,37,0.8,3,217
2015/8/10,112,轻度污染,42,80,38,0.7,2,173
2015/8/11,175,中度污染,91,128,36,1.4,6,240
2015/8/12,161,中度污染,81,129,36,1,4,226
2015/8/13,202,重度污染,120,160,41,1.3,7,275
2015/8/14,119,轻度污染,58,95,35,0.8,4,180
2015/8/15,80,良,22,54,36,0.6,3,135
2015/8/16,201,重度污染,38,89,40,0.7,6,270
2015/8/17,145,轻度污染,80,161,40,1,8,209
2015/8/18,90,良,48,82,34,0.8,3,147
2015/8/19,97,良,51,65,38,0.8,2,156
2015/8/20,100,良,33,51,26,0.6,2,160
2015/8/21,94,良,14,37,25,0.4,2,152
2015/8/22,56,良,17,38,20,0.6,4,107
2015/8/23,53,良,21,33,23,0.8,4,103
2015/8/24,55,良,13,28,22,0.5,2,106
2015/8/25,50,优,14,27,23,0.5,2,99
2015/8/26,61,良,12,27,23,0.4,2,113
2015/8/27,60,良,12,26,25,0.4,2,111
2015/8/28,70,良,16,38,24,0.5,3,124
2015/8/29,118,轻度污染,28,48,21,0.6,2,179
2015/8/30,74,良,28,32,25,0.9,2,128
2015/8/31,37,优,25,29,25,0.7,2,73
2015/9/1,34,优,11,20,20,0.5,2,67
2015/9/2,44,优,10,19,20,0.4,2,87
2015/9/3,74,良,15,30,19,0.5,2,128
2015/9/4,64,良,46,0,26,1.5,3,101
2015/9/5,44,优,18,20,23,0.7,2,88
2015/9/6,63,良,17,34,30,0.5,2,115
2015/9/7,84,良,25,44,38,0.7,3,140
2015/9/8,104,轻度污染,52,82,53,0.9,6,164
2015/9/9,50,优,32,50,40,0.7,3,94
2015/9/10,37,优,8,14,29,0.4,2,41
2015/9/11,35,优,9,16,26,0.4,2,69
2015/9/12,34,优,9,24,27,0.4,2,68
2015/9/13,57,良,20,51,45,0.6,3,105
2015/9/14,89,良,66,105,58,0.9,10,145
2015/9/15,140,轻度污染,105,134,62,1.2,13,204
2015/9/16,169,中度污染,128,152,62,1.2,8,180
2015/9/17,201,重度污染,151,166,69,1.3,10,181
2015/9/18,102,轻度污染,76,77,49,0.9,3,110
2015/9/19,69,良,23,51,55,0.6,3,95
2015/9/20,114,轻度污染,86,112,51,1,9,146
2015/9/21,133,轻度污染,101,134,67,1.3,17,176
2015/9/22,179,中度污染,135,0,60,1.5,10,108
2015/9/23,57,良,32,60,45,0.7,2,98
2015/9/24,124,轻度污染,94,102,53,1.2,4,121
2015/9/25,49,优,22,44,39,0.6,3,82
2015/9/26,74,良,34,72,48,0.7,7,128
2015/9/27,73,良,48,85,58,0.7,3,113
2015/9/28,68,良,49,62,46,1.3,4,59
2015/9/29,62,良,44,0,45,1.1,3,20
2015/9/30,48,优,30,0,38,0.7,3,48
2015/10/1,33,优,14,29,25,0.3,2,65
2015/10/2,59,良,30,68,47,0.6,3,88
2015/10/3,62,良,28,69,49,0.7,4,85
2015/10/4,149,轻度污染,114,155,77,1.3,10,125
2015/10/5,272,重度污染,222,244,80,1.7,9,180
2015/10/6,343,严重污染,293,327,84,2,7,200
2015/10/7,310,严重污染,260,83,76,1.8,8,128
2015/10/8,35,优,11,28,23,0.3,2,70
2015/10/9,39,优,16,39,29,0.4,3,64
2015/10/10,27,优,8,23,17,0.3,2,54
2015/10/11,37,优,10,25,21,0.3,2,73
2015/10/12,60,良,18,47,48,0.5,3,70
2015/10/13,84,良,35,73,67,0.8,6,68
2015/10/14,135,轻度污染,103,147,96,2,16,66
2015/10/15,143,轻度污染,109,147,91,1.4,9,123
2015/10/16,253,重度污染,203,236,111,2.1,13,159
2015/10/17,344,严重污染,294,0,119,2.5,13,97
2015/10/18,64,良,46,68,41,0.8,7,50
2015/10/19,78,良,57,103,61,0.9,6,46
2015/10/20,99,良,74,113,65,1.4,9,15
2015/10/21,70,良,51,77,41,0.9,2,28
2015/10/22,54,良,29,49,43,0.7,2,25
2015/10/23,74,良,54,77,53,0.9,3,45
2015/10/24,75,良,55,76,53,1,6,51
2015/10/25,74,良,37,84,59,0.9,10,23
2015/10/26,63,良,28,75,29,0.5,2,51
2015/10/27,48,优,15,48,37,0.5,3,52
2015/10/28,30,优,8,20,24,0.3,3,57
2015/10/29,30,优,7,22,20,0.3,3,59
2015/10/30,58,良,25,52,46,0.7,4,44
2015/10/31,73,良,43,70,58,0.8,5,42
2015/11/1,98,良,72,106,78,1,7,39
2015/11/2,102,轻度污染,76,116,78,1.4,8,44
2015/11/3,199,中度污染,149,181,90,1.9,16,63
2015/11/4,260,重度污染,210,0,108,2,15,29
2015/11/5,144,轻度污染,110,0,53,1,6,26
2015/11/6,37,优,20,9,29,0.5,2,38
2015/11/7,37,优,19,0,29,0.5,2,41
2015/11/8,82,良,60,89,46,0.9,3,37
2015/11/9,163,中度污染,124,0,56,1.6,4,7
2015/11/10,175,中度污染,132,0,55,1.6,4,5
2015/11/11,137,轻度污染,104,0,55,1.9,4,11
2015/11/12,205,重度污染,155,136,60,2.5,6,3
2015/11/13,258,重度污染,208,188,70,3.1,15,4
2015/11/14,324,严重污染,274,298,83,3.6,17,11
2015/11/15,246,重度污染,196,0,70,3.2,13,31
2015/11/16,79,良,58,85,52,1.5,10,18
2015/11/17,82,良,60,86,45,1.5,7,21
2015/11/18,92,良,68,90,45,1.1,7,9
2015/11/19,102,轻度污染,76,0,45,1.7,4,2
2015/11/20,88,良,65,0,43,2.3,9,3
2015/11/21,60,良,43,0,41,2.1,7,4
2015/11/22,69,良,50,0,39,1,7,33
2015/11/23,39,优,27,37,28,0.7,10,51
2015/11/24,65,良,45,0,52,1.1,8,41
2015/11/25,69,良,50,22,37,1.1,9,52
2015/11/26,55,良,38,60,37,0.9,11,56
2015/11/27,264,重度污染,214,245,93,2.9,36,15
2015/11/28,308,严重污染,258,254,102,4,44,13
2015/11/29,302,严重污染,252,0,108,4.9,38,21
2015/11/30,450,严重污染,343,550,124,6,24,11
2015/12/1,476,严重污染,464,454,133,7.9,35,9
2015/12/2,24,优,7,22,16,0.3,3,47
2015/12/3,33,优,10,33,16,0.4,5,47
2015/12/4,54,良,31,58,43,0.9,12,46
2015/12/5,77,良,49,85,61,1.4,17,40
2015/12/6,175,中度污染,132,162,88,2.8,32,11
2015/12/7,230,重度污染,180,199,93,3.5,36,9
2015/12/8,295,重度污染,245,246,92,4.3,20,7
2015/12/9,294,重度污染,244,10,94,3.6,32,9
2015/12/10,127,轻度污染,96,47,52,1.8,15,55
2015/12/11,75,良,48,86,60,1.4,15,35
2015/12/12,172,中度污染,130,174,86,2.8,23,12
2015/12/13,229,重度污染,179,219,98,3.9,39,12
2015/12/14,207,重度污染,157,27,75,2.7,16,44
2015/12/15,28,优,7,13,16,0.4,3,56
2015/12/16,23,优,8,14,18,0.5,4,45
2015/12/17,84,良,62,91,62,1.6,18,26
2015/12/18,80,良,58,85,64,1.8,18,35
2015/12/19,168,中度污染,127,155,87,3,29,12
2015/12/20,249,重度污染,199,194,101,3.6,27,10
2015/12/21,280,重度污染,230,284,104,4.1,23,12
2015/12/22,347,严重污染,297,427,103,5.3,29,10
2015/12/23,305,严重污染,255,298,104,4.7,21,32
2015/12/24,209,重度污染,159,275,80,2.7,18,40
2015/12/25,485,严重污染,477,510,141,7.3,12,13
2015/12/26,315,严重污染,265,381,102,4.9,9,10
2015/12/27,75,良,49,100,53,1.2,13,24
2015/12/28,149,轻度污染,114,175,79,2.3,23,16
2015/12/29,329,严重污染,279,338,119,4.4,34,9
2015/12/30,104,轻度污染,78,39,54,1.5,11,56
2015/12/31,90,良,66,128,72,1.8,16,25
2016/1/1,226,重度污染,176,199,106,3.4,33,12
2016/1/2,316,严重污染,266,299,124,4.6,35,16
2016/1/3,297,重度污染,247,296,83,3.5,20,22
2016/1/4,53,良,37,23,33,0.9,6,59
2016/1/5,63,良,34,76,38,0.9,11,50
2016/1/6,44,优,25,40,35,0.9,10,54
2016/1/7,35,优,13,22,28,0.6,6,54
2016/1/8,54,良,35,55,43,0.9,13,51
2016/1/9,102,轻度污染,76,102,74,1.9,23,26
2016/1/10,69,良,46,61,55,1.5,20,35
2016/1/11,32,优,11,22,25,0.6,6,59
2016/1/12,38,优,14,27,30,0.7,8,55
2016/1/13,62,良,26,48,49,1,14,47
2016/1/14,98,良,73,98,73,1.9,27,40
2016/1/15,132,轻度污染,100,127,84,2.6,33,25
2016/1/16,162,中度污染,123,137,71,2.5,44,15
2016/1/17,53,良,37,25,29,0.8,9,68
2016/1/18,45,优,10,45,18,0.5,4,62
2016/1/19,84,良,62,90,62,1.7,23,39
2016/1/20,153,中度污染,117,141,78,3.4,56,11
2016/1/21,173,中度污染,131,130,68,2.7,28,12
2016/1/22,33,优,13,33,16,0.6,4,65
2016/1/23,47,优,9,47,12,0.6,4,63
2016/1/24,47,优,13,47,24,0.6,6,60
2016/1/25,54,良,28,48,43,0.8,17,50
2016/1/26,56,良,35,62,37,0.8,18,58
2016/1/27,129,轻度污染,98,112,79,2.2,38,27
2016/1/28,159,中度污染,121,139,80,2.3,44,37
2016/1/29,84,良,62,80,55,1.8,36,28
2016/1/30,69,良,50,65,48,1.3,21,40
2016/1/31,38,优,18,26,30,0.6,10,66
2016/2/1,40,优,13,24,32,0.6,9,68
2016/2/2,62,良,29,40,49,0.9,16,55
2016/2/3,69,良,35,48,55,1.2,19,43
2016/2/4,36,优,13,24,23,0.5,8,71
2016/2/5,38,优,10,32,16,0.4,6,76
2016/2/6,45,优,31,45,36,0.8,14,70
2016/2/7,69,良,50,85,38,0.9,23,74
2016/2/8,238,重度污染,188,263,37,1,53,74
2016/2/9,60,良,43,53,41,1.1,20,82
2016/2/10,128,轻度污染,97,115,65,2.5,50,50
2016/2/11,202,重度污染,152,168,68,3,42,26
2016/2/12,192,中度污染,144,100,54,2.2,18,41
2016/2/13,34,优,9,14,12,0.3,5,68
2016/2/14,36,优,7,16,11,0.4,3,72
2016/2/15,46,优,7,46,14,0.3,4,71
2016/2/16,38,优,8,36,18,0.3,5,76
2016/2/17,64,良,46,44,48,1.1,16,73
2016/2/18,42,优,14,32,22,0.4,5,83
2016/2/19,40,优,15,33,26,0.5,5,79
2016/2/20,40,优,16,24,22,0.5,6,79
2016/2/21,108,轻度污染,81,107,57,1.5,26,55
2016/2/22,92,良,68,74,40,1.1,16,80
2016/2/23,41,优,11,18,17,0.4,5,81
2016/2/24,49,优,26,49,35,0.7,9,70
2016/2/25,45,优,25,44,36,0.7,10,61
2016/2/26,55,良,36,60,40,0.8,14,69
2016/2/27,45,优,22,35,36,0.6,9,71
2016/2/28,48,优,31,48,33,0.8,7,79
2016/2/29,53,良,35,47,42,0.7,12,70
2016/3/1,158,中度污染,120,136,85,1.9,30,50
2016/3/2,212,重度污染,162,190,110,2.5,32,62
2016/3/3,333,严重污染,283,283,119,3.5,46,50
2016/3/4,365,严重污染,315,414,113,4.3,47,22
2016/3/5,170,中度污染,58,290,23,0.4,3,78
2016/3/6,116,轻度污染,73,182,68,1.6,28,41
2016/3/7,70,良,34,89,33,0.9,10,84
2016/3/8,39,优,10,25,16,0.4,3,77
2016/3/9,37,优,10,26,16,0.4,4,73
2016/3/10,49,优,11,49,18,0.4,4,75
2016/3/11,51,良,24,52,36,0.6,8,76
2016/3/12,144,轻度污染,110,138,82,1.8,40,44
2016/3/13,48,优,30,48,32,0.6,9,92
2016/3/14,103,轻度污染,77,118,64,1.3,21,72
2016/3/15,190,中度污染,143,198,79,1.6,47,56
2016/3/16,300,重度污染,250,261,89,2.2,38,120
2016/3/17,338,严重污染,288,298,103,2.3,31,106
2016/3/18,227,重度污染,177,55,64,1.4,12,112
2016/3/19,88,良,65,113,44,1,17,76
2016/3/20,89,良,66,113,62,1,10,86
2016/3/21,163,中度污染,124,179,80,1.2,21,116
2016/3/22,138,轻度污染,105,207,75,1.4,25,68
2016/3/23,43,优,16,37,26,0.5,4,85
2016/3/24,44,优,13,24,31,0.4,3,87
2016/3/25,48,优,17,38,38,0.5,4,89
2016/3/26,45,优,12,29,27,0.4,4,90
2016/3/27,47,优,17,47,35,0.4,4,92
2016/3/28,123,轻度污染,70,195,66,0.8,16,77
2016/3/29,62,良,19,74,33,0.4,5,96
2016/3/30,63,良,30,76,42,0.6,9,93
2016/3/31,199,中度污染,149,239,73,1.4,33,118
2016/4/1,93,良,35,135,26,0.4,6,95
2016/4/2,43,优,9,28,16,0.2,3,86
2016/4/3,52,良,20,54,26,0.3,3,93
2016/4/4,103,轻度污染,77,114,48,0.6,12,121
2016/4/5,148,轻度污染,113,146,52,1,19,142
2016/4/6,192,中度污染,144,182,71,2,30,96
2016/4/7,108,轻度污染,81,112,43,1,4,90
2016/4/8,71,良,25,92,32,0.4,5,97
2016/4/9,148,轻度污染,73,245,55,0.7,11,95
2016/4/10,121,轻度污染,54,192,43,0.8,13,95
2016/4/11,77,良,41,103,42,0.6,9,89
2016/4/12,105,轻度污染,79,104,58,0.8,6,76
2016/4/13,158,中度污染,120,134,64,1,7,104
2016/4/14,76,良,32,101,28,0.3,4,108
2016/4/15,80,良,59,107,58,1,16,91
2016/4/16,46,优,16,35,16,0.3,2,91
2016/4/17,50,优,19,39,25,0.3,3,100
2016/4/18,98,良,73,104,65,1.3,20,64
2016/4/19,92,良,68,102,44,0.9,8,121
2016/4/20,127,轻度污染,96,165,58,0.9,7,124
2016/4/21,74,良,33,97,23,0.3,2,108
2016/4/22,54,良,23,58,30,0.3,4,97
2016/4/23,113,轻度污染,85,149,53,0.9,22,152
2016/4/24,119,轻度污染,90,141,34,0.7,14,172
2016/4/25,95,良,71,124,44,1.4,26,141
2016/4/26,120,轻度污染,91,134,62,1.1,9,115
2016/4/27,122,轻度污染,81,100,49,1,7,184
2016/4/28,168,中度污染,127,160,65,1.4,17,185
2016/4/29,209,重度污染,159,168,58,1.4,10,232
2016/4/30,234,重度污染,184,166,43,2.3,26,236
2016/5/1,82,良,50,103,20,0.5,2,138
2016/5/2,60,良,23,70,29,0.4,2,101
2016/5/3,68,良,29,59,49,0.5,4,121
2016/5/4,102,轻度污染,62,153,43,0.9,14,129
2016/5/5,116,轻度污染,57,182,13,0.2,2,100
2016/5/6,74,良,23,55,29,0.3,3,128
2016/5/7,97,良,60,103,44,0.7,15,156
2016/5/8,64,良,36,64,39,0.5,4,116
2016/5/9,100,良,43,76,36,0.5,4,160
2016/5/10,200,中度污染,150,166,36,1.1,12,177
2016/5/11,62,良,34,45,28,0.5,3,114
2016/5/12,73,良,32,60,43,0.6,6,127
2016/5/13,58,良,41,33,35,0.5,3,84
2016/5/14,49,优,34,33,36,0.5,2,87
2016/5/15,75,良,24,59,43,0.5,3,129
2016/5/16,162,中度污染,58,104,52,0.6,11,227
2016/5/17,134,轻度污染,61,101,35,0.5,9,197
2016/5/18,184,中度污染,86,118,38,0.8,15,249
2016/5/19,171,中度污染,88,110,49,1.1,20,236
2016/5/20,150,轻度污染,68,83,47,0.8,18,215
2016/5/21,142,轻度污染,49,87,51,0.7,8,206
2016/5/22,95,良,61,106,45,0.9,14,153
2016/5/23,75,良,19,44,28,0.4,3,129
2016/5/24,66,良,13,31,25,0.3,3,119
2016/5/25,63,良,22,61,31,0.3,2,115
2016/5/26,122,轻度污染,48,104,50,0.6,12,184
2016/5/27,138,轻度污染,48,87,38,0.7,10,201
2016/5/28,95,良,33,76,30,0.5,5,153
2016/5/29,204,重度污染,82,147,51,1.1,16,283
2016/5/30,138,轻度污染,45,115,36,0.8,11,201
2016/5/31,108,轻度污染,37,73,42,0.7,6,168
2016/6/1,156,中度污染,53,88,51,0.8,9,221
2016/6/2,160,中度污染,82,125,61,1.2,21,225
2016/6/3,179,中度污染,87,127,38,0.9,16,244
2016/6/4,161,中度污染,71,98,38,0.9,14,226
2016/6/5,189,中度污染,87,119,32,0.9,7,254
2016/6/6,127,轻度污染,60,0,25,0.8,2,189
2016/6/7,170,中度污染,129,129,36,1.2,3,223
2016/6/8,153,中度污染,106,140,33,1,7,218
2016/6/9,123,轻度污染,52,32,20,0.6,2,185
2016/6/10,64,良,12,30,25,0.4,2,116
2016/6/11,146,轻度污染,71,100,33,1,7,210
2016/6/12,96,良,47,0,28,0.6,2,155
2016/6/13,50,优,35,44,26,0.6,2,95
2016/6/14,92,良,19,40,30,0.5,2,150
2016/6/15,90,良,26,59,47,0.6,2,148
2016/6/16,59,良,24,56,47,0.6,2,103
2016/6/17,145,轻度污染,42,72,44,0.7,4,209
2016/6/18,149,轻度污染,65,98,39,0.8,5,213
2016/6/19,166,中度污染,85,101,28,1,5,231
2016/6/20,175,中度污染,85,89,30,0.9,2,240
2016/6/21,150,轻度污染,56,85,32,0.7,2,214
2016/6/22,117,轻度污染,76,102,38,1.1,6,178
2016/6/23,70,良,13,30,30,0.6,2,123
2016/6/24,59,良,18,38,32,0.4,2,110
2016/6/25,140,轻度污染,41,77,42,0.5,5,203
2016/6/26,98,良,60,88,39,0.7,7,157
2016/6/27,98,良,73,0,32,0.7,2,118
2016/6/28,145,轻度污染,111,0,33,0.9,2,166
2016/6/29,130,轻度污染,60,57,33,0.7,2,192
2016/6/30,82,良,14,32,25,0.4,2,138
2016/7/1,119,轻度污染,47,71,38,0.7,3,180
2016/7/2,137,轻度污染,83,108,43,1,8,200
2016/7/3,173,中度污染,131,110,32,1.2,5,216
2016/7/4,161,中度污染,96,104,30,1,5,226
2016/7/5,155,中度污染,74,106,35,0.9,5,220
2016/7/6,177,中度污染,110,125,33,1.2,8,242
2016/7/7,146,轻度污染,91,104,34,1.2,5,210
2016/7/8,143,轻度污染,83,93,32,0.8,4,207
2016/7/9,137,轻度污染,91,86,28,0.8,4,200
2016/7/10,129,轻度污染,86,98,29,0.7,7,191
2016/7/11,52,良,29,54,29,0.6,4,94
2016/7/12,112,轻度污染,20,43,32,0.5,3,173
2016/7/13,80,良,35,0,42,0.8,4,135
2016/7/14,52,良,36,40,30,0.7,2,77
2016/7/15,54,良,38,53,40,0.8,3,82
2016/7/16,154,中度污染,79,97,42,1.1,3,219
2016/7/17,139,轻度污染,106,130,52,1.3,4,137
2016/7/18,133,轻度污染,101,0,44,1.3,2,53
2016/7/19,48,优,33,7,18,0.7,2,57
2016/7/20,40,优,28,39,27,0.8,2,53
2016/7/21,100,良,75,81,32,1.1,2,154
2016/7/22,158,中度污染,120,174,34,1.2,2,180
2016/7/23,131,轻度污染,73,118,34,0.9,3,194
2016/7/24,57,良,40,38,29,0.8,3,108
2016/7/25,93,良,21,48,24,0.6,3,151
2016/7/26,168,中度污染,47,0,35,0.7,2,233
2016/7/27,128,轻度污染,50,81,31,0.7,2,190
2016/7/28,158,中度污染,120,139,30,1.3,2,217
2016/7/29,170,中度污染,129,48,32,1.6,2,87
2016/7/30,77,良,56,82,32,1,2,102
2016/7/31,109,轻度污染,71,100,30,1.3,3,169
2016/8/1,96,良,49,58,31,1,2,155
2016/8/2,153,中度污染,59,80,35,1,3,218
2016/8/3,155,中度污染,101,114,33,1.4,2,220
2016/8/4,103,轻度污染,66,88,29,0.8,3,163
2016/8/5,129,轻度污染,98,96,32,1,2,162
2016/8/6,69,良,20,34,19,0.6,2,122
2016/8/7,95,良,32,48,26,0.8,3,154
2016/8/8,135,轻度污染,46,70,37,1.2,6,198
2016/8/9,112,轻度污染,84,97,27,0.9,3,158
2016/8/10,114,轻度污染,86,100,29,0.9,3,156
2016/8/11,79,良,58,73,38,0.9,4,72
2016/8/12,50,优,22,35,40,0.7,3,45
2016/8/13,104,轻度污染,22,48,38,0.6,3,164
2016/8/14,45,优,20,42,29,0.6,2,89
2016/8/15,96,良,24,41,32,0.6,2,155
2016/8/16,87,良,64,0,58,1,3,47
2016/8/17,99,良,74,0,42,1.6,2,43
2016/8/18,67,良,19,42,25,0.9,2,120
2016/8/19,134,轻度污染,54,70,38,1,2,197
2016/8/20,179,中度污染,54,74,40,1,3,244
2016/8/21,103,轻度污染,50,66,32,0.9,4,163
2016/8/22,95,良,71,91,42,0.9,6,135
2016/8/23,109,轻度污染,82,110,48,1.1,3,133
2016/8/24,34,优,17,23,24,0.4,2,67
2016/8/25,45,优,11,29,33,0.4,2,90
2016/8/26,48,优,15,39,38,0.4,3,81
2016/8/27,46,优,12,32,34,0.3,2,92
2016/8/28,66,良,19,47,45,0.5,3,119
2016/8/29,109,轻度污染,30,65,48,0.6,3,169
2016/8/30,50,优,16,37,40,0.5,3,88
2016/8/31,39,优,8,31,31,0.3,3,72
2016/9/1,39,优,12,34,31,0.4,2,56
2016/9/2,86,良,21,45,35,0.5,2,143
2016/9/3,106,轻度污染,79,0,44,1,5,166
2016/9/4,54,良,28,58,33,0.5,2,94
2016/9/5,0,无,0,0,0,0,0,0
2016/9/6,87,良,40,65,41,0.7,5,144
2016/9/7,55,良,23,46,44,0.6,2,105
2016/9/8,53,良,18,39,42,0.5,3,68
2016/9/9,54,良,17,44,43,0.5,3,92
2016/9/10,65,良,32,48,29,0.8,2,117
2016/9/11,72,良,34,51,38,0.8,2,126
2016/9/12,118,轻度污染,89,98,53,1.1,3,137
2016/9/13,130,轻度污染,99,102,50,1.1,4,174
2016/9/14,111,轻度污染,79,100,42,0.9,4,172
2016/9/15,172,中度污染,130,125,39,1.1,4,187
2016/9/16,57,良,40,0,37,0.8,2,49
2016/9/17,42,优,23,22,33,0.6,2,18
2016/9/18,44,优,12,29,35,0.4,2,74
2016/9/19,59,良,21,44,47,0.5,3,95
2016/9/20,97,良,68,117,77,1,5,44
2016/9/21,137,轻度污染,104,129,59,1.1,7,113
2016/9/22,168,中度污染,127,172,49,1.2,3,182
2016/9/23,156,中度污染,119,203,54,1.1,4,174
2016/9/24,211,重度污染,161,193,49,1.5,4,96
2016/9/25,80,良,59,109,46,1.2,2,61
2016/9/26,33,优,23,29,24,0.6,2,59
2016/9/27,50,优,16,38,40,0.4,3,58
2016/9/28,75,良,53,90,60,0.7,5,95
2016/9/29,135,轻度污染,103,138,76,0.9,7,145
2016/9/30,220,重度污染,170,202,86,1.3,11,118
2016/10/1,233,重度污染,183,201,72,1.4,6,132
2016/10/2,159,中度污染,121,140,58,1.1,3,132
2016/10/3,47,优,31,44,37,1.1,3,34
2016/10/4,83,良,61,91,42,1.2,2,57
2016/10/5,95,良,71,0,48,1.6,4,11
2016/10/6,55,良,39,17,43,1.6,2,15
2016/10/7,33,优,13,29,26,0.5,2,60
2016/10/8,67,良,33,64,53,0.7,4,33
2016/10/9,122,轻度污染,92,127,79,1.2,10,31
2016/10/10,149,轻度污染,114,130,65,1.4,8,62
2016/10/11,107,轻度污染,80,102,64,1.2,6,51
2016/10/12,206,重度污染,156,189,75,1.6,5,78
2016/10/13,292,重度污染,242,258,93,2,6,73
2016/10/14,236,重度污染,186,226,88,1.9,4,4
